Year;Company;Weight;Revenue;Cost of Goods Sold;Gross Profit;Other Incomes;Genereal Expenses;Depreciation;EBIT;Net Interest Expense;Adjusted EBIT;Other;Taxes;Net Income;Non-Current Assets;Inventories;Receivables;Cash;Current Assets;Total Assets;Payables;Tax Paybles;Current Liabilities;Long-Term Debt;Short-Term Debt;Total Debt;Total Liabilities;Total Equity;Total Liabilities & Shareholders' Equity;Gross margin ratio;Operating margin ratio;Net Profit margin;Return on assets ratio;Capital Employed
2011;Εκδόσεις Πατάκη;38%; 12.245.097,2 ;-5.638.556,2 ; 6.606.541,0 ; 16.857,7 ;-5.810.859,5 ; -   ; 812.539,2 ;-258.604,9 ; 553.934,3 ;-40.977,8 ; -   ; 512.956,5 ; 6.070.981,0 ; 8.250.441,5 ; 9.769.531,2 ; 183.062,1 ; 18.203.034,8 ; 26.796.189,9 ; 3.897.157,1 ; 346.286,3 ; 6.457.645,1 ; 2.968.570,0 ; 2.214.201,7 ; 5.182.771,6 ; 9.426.215,1 ; 16.763.156,0 ; 26.796.189,9 ;54,0%;4,5%;4,2%;1,9%; 20.338.544,8 
2012;Εκδόσεις Πατάκη;42%; 12.739.443,3 ;-6.132.039,7 ; 6.607.403,6 ; 56.971,9 ;-5.514.849,4 ; -   ; 1.149.526,2 ;-218.955,8 ; 930.570,4 ;-195.838,0 ; -   ; 734.732,5 ; 5.772.423,0 ; 8.008.662,8 ; 9.713.014,7 ; 632.032,6 ; 18.353.710,0 ; 26.340.752,5 ; 4.582.296,8 ; 511.797,6 ; 5.751.320,6 ; 2.953.530,0 ; 657.226,2 ; 3.610.756,2 ; 8.704.850,6 ; 16.657.730,2 ; 26.340.752,5 ;51,9%;7,3%;5,8%;2,8%; 20.589.431,9 
2013;Εκδόσεις Πατάκη;31%; 12.941.590,9 ;-6.441.998,5 ; 6.499.592,4 ; 20.823,3 ;-5.510.819,1 ; -   ; 1.009.596,7 ;-225.003,2 ; 784.593,5 ; 2.784,2 ; -   ; 787.377,6 ; 5.559.235,9 ; 6.859.785,8 ; 9.293.377,3 ; 584.360,4 ; 16.737.523,5 ; 24.394.058,1 ; 3.565.703,0 ; 596.689,6 ; 4.693.066,5 ; 2.158.490,0 ; 530.673,8 ; 2.689.163,8 ; 6.851.556,5 ; 16.622.089,3 ; 24.394.058,1 ;50,2%;6,1%;6,1%;3,2%; 19.700.991,6 
2014;Εκδόσεις Πατάκη;28%; 12.383.322,3 ;-5.633.078,3 ; 6.750.244,0 ; 169.717,4 ;-5.635.065,7 ; -   ; 1.284.895,7 ;-163.021,0 ; 1.121.874,7 ;-250.991,2 ; -   ; 870.883,4 ; 5.376.675,2 ; 6.908.569,3 ; 9.282.286,9 ; 421.163,7 ; 16.612.019,8 ; 24.047.477,1 ; 3.696.166,7 ; 530.231,8 ; 5.028.924,8 ; 1.448.450,0 ; 802.526,3 ; 2.250.976,3 ; 6.477.374,7 ; 16.686.347,2 ; 24.047.477,1 ;54,5%;9,1%;7,0%;3,6%; 19.018.552,4 
2015;Εκδόσεις Πατάκη;31%; 12.491.995,0 ;-5.922.690,8 ; 6.569.304,2 ; 172.443,6 ;-5.460.250,0 ;-81.002,0 ; 1.200.495,8 ;-179.182,7 ; 1.021.313,1 ; -   ;-346.462,9 ; 674.850,2 ; 5.187.562,0 ; 7.177.113,7 ; 11.361.911,1 ; 201.857,0 ; 18.740.881,8 ; 23.928.443,9 ; 3.522.565,8 ; 603.051,4 ; 5.828.818,8 ; 738.427,7 ; 1.703.201,6 ; 2.441.629,3 ; 6.567.246,5 ; 17.361.197,5 ; 23.928.443,9 ;52,6%;8,2%;5,4%;2,8%; 18.099.625,2 
2016;Εκδόσεις Πατάκη;30%; 12.573.235,1 ;-5.973.570,1 ; 6.599.665,0 ; 172.111,4 ;-5.776.060,9 ; -   ; 1.028.836,4 ;-187.447,7 ; 841.388,7 ; 33.120,9 ;-274.240,7 ; 600.268,9 ; 5.044.563,2 ; 7.712.712,1 ; 11.836.920,4 ; 205.111,7 ; 19.754.744,1 ; 24.799.307,3 ; 4.456.509,6 ; 531.752,7 ; 7.322.129,4 ; 103.370,1 ; 2.333.867,2 ; 2.437.237,2 ; 7.440.961,9 ; 17.358.345,4 ; 24.799.307,3 ;52,5%;6,7%;4,8%;2,4%; 17.477.177,9 
2017;Εκδόσεις Πατάκη;30%; 12.573.038,6 ;-5.971.864,1 ; 6.601.174,5 ; 178.646,5 ;-5.539.133,3 ;-38.074,2 ; 1.202.613,5 ;-239.661,5 ; 962.952,0 ; -   ;-329.569,3 ; 633.382,7 ; 4.803.577,5 ; 8.175.863,2 ; 12.420.410,8 ; 99.771,6 ; 20.696.045,6 ; 25.499.623,0 ; 4.167.968,6 ; 587.196,6 ; 7.324.430,8 ; 743.055,5 ; 2.569.265,6 ; 3.312.321,2 ; 8.077.894,9 ; 17.421.728,2 ; 25.499.623,0 ;52,5%;7,7%;5,0%;2,5%; 18.175.192,2 
2018;Εκδόσεις Πατάκη;33%; 11.850.993,5 ;-5.583.409,0 ; 6.267.584,5 ; 179.590,6 ;-5.462.976,4 ; -   ; 984.198,7 ;-227.141,0 ; 757.057,8 ; -   ;-312.088,7 ; 444.969,1 ; 4.630.479,0 ; 8.869.683,0 ; 11.360.311,2 ; 215.675,5 ; 20.445.669,7 ; 25.076.148,6 ; 3.954.326,7 ; 558.186,9 ; 6.928.631,6 ; 804.717,0 ; 2.416.118,0 ; 3.220.835,0 ; 7.739.325,9 ; 17.336.822,7 ; 25.076.148,6 ;52,9%;6,4%;3,8%;1,8%; 18.147.517,0 
2019;Εκδόσεις Πατάκη;29%; 12.202.050,1 ;-5.463.658,3 ; 6.738.391,8 ; 178.807,9 ;-5.443.051,5 ;-310.114,1 ; 1.164.034,1 ;-202.362,0 ; 961.672,2 ; -   ;-294.897,8 ; 666.774,4 ; 5.195.576,7 ; 8.916.404,3 ; 10.382.312,5 ; 210.678,2 ; 19.509.395,1 ; 24.704.971,2 ; 4.135.234,6 ; 572.970,7 ; 5.457.840,3 ; 1.511.232,2 ; 749.635,0 ; 2.260.867,3 ; 7.016.204,9 ; 17.688.766,2 ; 24.704.971,2 ;55,2%;7,9%;5,5%;2,7%; 19.247.130,9 
2020;Εκδόσεις Πατάκη;26%; 11.669.353,6 ;-5.735.492,7 ; 5.933.860,9 ; 210.462,1 ;-5.112.707,4 ; -   ; 1.031.615,6 ;-98.462,1 ; 933.153,5 ; -   ;-251.932,6 ; 681.220,9 ; 4.869.475,0 ; 9.130.265,4 ; 9.867.236,9 ; 825.565,6 ; 19.823.067,9 ; 24.692.542,9 ; 3.841.336,3 ; 535.797,9 ; 6.236.854,4 ; 965.054,6 ; 1.859.720,2 ; 2.824.774,8 ; 7.205.614,6 ; 17.486.928,3 ; 24.692.542,9 ;50,8%;8,0%;5,8%;2,8%; 18.455.688,5 
2011;Εκδόσεις Μεταίχμιο;20%; 6.408.990,4 ;-1.344.034,7 ; 5.064.955,7   ; 115.496,8 ;-4.520.778,9 ;; 659.673,6 ;-361.506,8 ; 298.166,8 ;-59.241,5 ;; 238.925,3 ; 2.024.817,1 ; 1.385.867,4 ; 8.382.348,8 ; 389.529,9 ; 10.157.476,0 ; 12.541.138,1 ; 6.226.218,9 ; 194.947,9 ; 6.421.166,8 ; 1.272.776,4 ; -   ; 1.272.776,4 ; 7.693.943,2 ; 3.487.795,7 ; 12.541.138,1 ;79,0%;4,7%;3,7%;1,9%; 6.119.971,3 
2012;Εκδόσεις Μεταίχμιο;17%; 5.183.171,6 ;-1.183.411,1 ; 3.999.760,6   ; 87.127,7 ;-3.926.573,0 ;; 160.315,3 ;-395.271,1 ;-234.955,8 ; 3.227,8 ;;-31.728,0 ; 1.963.050,0 ; 1.390.260,2 ; 7.265.906,5 ; 266.886,0 ; 8.923.052,7 ; 11.449.469,7 ; 5.362.358,0 ; 116.698,4 ; 5.479.056,5 ; 1.230.262,9 ; -   ; 1.230.262,9 ; 6.709.319,4 ; 3.304.056,9 ; 11.449.469,7 ;77,2%;-4,5%;-0,6%;-0,3%; 5.970.413,3 
2013;Εκδόσεις Μεταίχμιο;18%; 7.437.407,3 ;-2.038.903,6 ; 5.398.503,7   ; 13.020,6 ;-4.673.730,4 ;; 737.793,9 ;-369.189,4 ; 368.604,5 ;-150.775,3 ;; 217.829,2 ; 1.863.694,4 ; 950.231,5 ; 7.073.000,1 ; 396.942,6 ; 8.420.174,2 ; 10.645.939,3 ; 3.029.252,6 ; 211.181,8 ; 5.694.925,3 ; 900.000,0 ; 2.454.491,0 ; 3.354.491,0 ; 6.594.925,3 ; 3.192.805,3 ; 10.645.939,3 ;72,6%;5,0%;2,9%;2,0%; 4.951.014,0 
