Year;Company;Weight;Revenue;Cost of Goods Sold;Gross Profit;Other Incomes;Genereal Expenses;Depreciation;EBIT;Net Interest Expense;Adjusted EBIT;Other;Taxes;Net Income;Non-Current Assets;Inventories;Receivables;Cash;Current Assets;Total Assets;Payables;Tax Paybles;Current Liabilities;Long-Term Debt;Short-Term Debt;Total Debt;Total Liabilities;Total Equity;Total Liabilities & Shareholders' Equity;Gross margin ratio;Operating margin ratio;Net Profit margin;Return on assets ratio;Capital Employed
2018;Εκδόσεις Καστανιώτη;6%; 2.155.933,7 ;-1.171.383,4 ;984550,3; 84.661,8 ;-1001135,03;;57585,85;-264237,85;-205650,7;;;-205650,7;1543961,13;4059102,28;3845015,21;49349,55;7953467,04;9497428,17;555327,17;820517,71;2079508,55;7316382,08;703663,67;8020045,75;9395890,63;101537,54;9497428,17;45,7%;-9,5%;-9,5%;-2,2%; 7.417.919,6 
2019;Εκδόσεις Καστανιώτη;5%; 2.065.666,4 ;-1.126.043,4 ;939623,02; 72.005,3 ;-845446,77;;165401,4;-358155,67;-192753,58;;;-192753,58;1553296,4;4068317,47;5428400,9;88079,47;9584797,84;11138094,24;1823800,3;1029901,68;3617922,75;7611387,53;764220,77;8375608,3;11229310,28;-91216,04;11138094,24;45,5%;-9,3%;-9,3%;-1,7%; 7.520.171,5 
2020;Εκδόσεις Καστανιώτη;5%; 2.256.992,9 ;-1.292.229,6 ;964763,38; 57.401,8 ;-768857,3;;241246,44;-325427,71;-84180,12;;;-84180,12;1540841,72;3982816,66;4323971,77;157939,56;8464727,99;10005569,71;206008,38;1285979,58;2310122,6;7880043,27;818134,64;8698177,91;10190165,87;-184596,16;10005569,71;42,7%;-3,7%;-3,7%;-0,8%; 7.695.447,1 
2011;Εκδόσεις Λιβάνη;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Εκδόσεις Λιβάνη;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Εκδόσεις Λιβάνη;15%;6166491,6;-3326859,41;2839632,19;50233,68;-3209400,76;;-1681140,93;-772494,96;-2917133,85;;;-2904123,61;16913381,73;4275840,18;9913155,51;80538,57;14269534,26;31182834,99;3539587,54;;8626721,24;7289746,47;5087133,7;12376880,17;18888849,55;12293985,44;31182834,99;46,0%;-47,3%;-47,1%;-9,3%; 22.556.113,8 
2014;Εκδόσεις Λιβάνη;12%;5367004,58;-3172490,77;2194513,81;29035,11;-3134774,76;;-1810046,53;-791892,06;-3010078,91;;;-3041872,58;11208272,78;3950863,07;7583372,65;262104,58;11796340,3;23004613,08;3373369,88;;4515381,9;11781595,67;1142012,02;12923607,69;17737761,69;5266851,39;23004613,08;40,9%;-56,1%;-56,7%;-13,2%; 18.489.231,2 
2015;Εκδόσεις Λιβάνη;9%;3518218,79;-3043407,61;474811,18;695289,61;-2917026,12;;-2363824,18;-643204,29;-4679940,48;;;-4215590,02;9968131,08;3797958,35;5368586,89;85353,66;9251898,9;19220029,98;2744652,85;;14042982,08;2804289,08;11298329,23;14102618,31;18194434,89;1025595,09;19220029,98;13,5%;-133,0%;-119,8%;-21,9%; 5.177.047,9 
2016;Εκδόσεις Λιβάνη;7%;3100079,12;-2996245,21;103833,91;87467,76;-3820039,72;;-3084947,03;-627459,46;-4679940,48;;;-4354847,5;9000597,09;3625780,84;2977185,25;42948,54;6645914,63;15646511,72;3222577,07;;16790359,29;1134094;13567782,22;14701876,22;18913667,82;-3267156,1;15646511,72;3,3%;-151,0%;-140,5%;-27,8%;-1.143.847,6 
2017;Εκδόσεις Λιβάνη;6%;2324632,85;-2462613,29;-137980,44;115909,34;-1254971,64;;-1684373,45;-716527,88;-2631375,93;;-43766,36;-2657142,29;5439882,15;2822283,38;2564723,3;98947,69;5485954,37;10925836,52;4173055,34;0;19132430,57;0;14959375,23;14959375,23;20110805,6;-9184969,08;10925836,52;-5,9%;-113,2%;-114,3%;-24,3%;-8.206.594,1 
2018;Εκδόσεις Λιβάνη;9%;3070110,78;-2349009,43;721101,35;165848,01;-1125344,17;;-989832,41;-475447,54;-1586990,75;;;-1412351,06;5318170,33;2822283,38;1726375,26;117259,34;4665917,98;9984088,31;4619147,34;;19792963,66;;15173816,32;15173816,32;20581408,44;-10597320,13;9984088,31;23,5%;-51,7%;-46,0%;-14,1%;-9.808.875,4 
2019;Εκδόσεις Λιβάνη;7%;3186946,5;-1519590,3;1667356,2;160945,56;-1961161,25;;-363388,51;-377656,64;-876904,61;;;-810876,83;5269842,7;1870663,6;2324044,77;134371,49;4329079,86;9598922,56;4999776,66;;20249645,24;;15249868,58;15249868,58;20932529,52;-11333606,96;9598922,56;52,3%;-27,5%;-25,4%;-8,4%;-10.650.722,7 
2020;Εκδόσεις Λιβάνη;3%;1495961,66;-1.086.788 ;409173,32;152637,19;-1261944,1;;-1624713,94;-652742,9;-2413847;;;-2313847;3796373,19;1650222,02;2318283,58;149100,86;4117606,46;7913979,65;5629963,7;;21459059,73;;15829096,03;15829096,03;22130784,35;-14216804,7;7913979,65;27,4%;-161,4%;-154,7%;-29,2%;-13.545.080,1 
2011;Ελδόσεις Κλειδάριθμος;12%;3915304,88;-2.348.248 ;1567057,34;7631,08;-840800,38;;733888,08;-9682,17;724205,91;;;831124,57;22886,43;1594145,43; 1.945.199 ;816140,96;4355485,74;4378372,64; 1.936.357 ;321524,83;2257881,47;;;0;2257881,47; 2.120.491 ;4378372,64;40,0%;18,5%;21,2%;19,0%; 2.120.491,2 
2012;Ελδόσεις Κλειδάριθμος;11%;3407710,25;-1.868.962 ;1538748,19;4816,75;-595190,99;;948373,95;-3955,99;952329,94;;;969967,74;15954,95;1819668,29; 1.898.357 ;688868,77;4406893,93;4422849,35; 1.375.405 ;172237,19;1547642,29;;;0;1547642,29; 2.875.207 ;4422849,35;45,2%;27,9%;28,5%;21,9%; 2.875.207,1 
2013;Ελδόσεις Κλειδάριθμος;11%;4420512,93;-2.372.822 ;2047691,37;76870;-497021,7;;1627540,44;-21322,15;1648862,59;;;1686927,63;29791,52;1725449,93; 2.033.851 ;2014656,19;5773957,46;5803749,45; 1.760.650 ;627269,49;2387919,93;;;0;2387919,93; 3.415.830 ;5803749,45;46,3%;37,3%;38,2%;29,1%; 3.415.829,5 
2014;Ελδόσεις Κλειδάριθμος;9%;4110911,95;-2.113.932 ;1996979,57;4244,67;-499350,47;;1496344,94;-2184,13;1522740,57;;-398508,66;1124231,91;36767,58;1979367,97; 1.267.464 ;2237111,78;5483943,66;5520711,24; 1.255.363 ;305145,17;1560508,1;;;0;1560508,1; 3.960.203 ;5520711,24;48,6%;37,0%;27,3%;20,4%; 3.960.203,1 
2015;Ελδόσεις Κλειδάριθμος;9%;3451219,87;-1.911.938 ;1539281,97;3603,32;-624082,37;;947231,7;-2430,75;972408,25;;-287087,08;685321,17;45451,06;1952479,78; 1.355.170 ; 2.171.643,07 ;5479292,51;5524743,57; 769.442 ;109777,75;879219,26;;;0; 879.219 ; 4.645.524 ;5524743,57;44,6%;28,2%;19,9%;12,4%; 4.645.524,3 
2016;Ελδόσεις Κλειδάριθμος;9%;3668719,96;-2.084.244 ;1584475,51;3680,71;-984568,22;;597818,26;-1515,38;598449,65;;;423864,28;35666,39;2021188,14; 2.415.171 ;1283280,45;5719639,52;5755305,91; 2.457.931 ;127986,74;2585917,32;;;0;2585917,32; 3.169.389 ;5755305,91;43,2%;16,3%;11,6%;7,4%; 3.169.388,6 
2017;Ελδόσεις Κλειδάριθμος;9%;3772650,87;-2.281.724 ;1490926,65;3843,76;-1109522,76;;390147,85;-1686,54;388842,52;;-113772,49;275070,03;138755,9;2185424,58; 3.319.212 ;596012,04;6100648,14;6239404; 2.547.310 ;247635,61;2794945,42;;;0;2794945,42; 3.444.459 ; 6.239.404 ;39,5%;10,3%;7,3%;4,4%; 3.444.458,6 
2018;Ελδόσεις Κλειδάριθμος;11%;3845419,03;-2.427.540 ;1417878,76;4652,72;-1017347,76;;465892,34;-2149,4;464035,55;;-136158,51;327877,04;120856,28;2171398,74; 3.219.913 ;816249,67;6207561,63;6328417,91; 2.426.485 ;129596,85;2556082,25;;;0;2556082,25; 3.772.336 ; 6.328.418 ;36,9%;12,1%;8,5%;5,2%; 3.772.335,7 
2019;Ελδόσεις Κλειδάριθμος;8%;3547087,31;-2.061.670 ;1485417,09;4319,84;-1188321,79;;389728,8;-2998,86;387761,83;;-101395,81;592222,42;103568,84;2510775,98; 2.784.286 ;877330;6172392,24;6275961,08; 2.090.373 ;126886,48;2217259,4;;;0;2217259,4;4058701,68; 6.275.961 ;41,9%;10,9%;16,7%;9,4%; 4.058.701,7 
2020;Ελδόσεις Κλειδάριθμος;10%;4591423,15;-2.779.294 ;1812129,08;3993,17;-1116548,67;;783242,64;-2408,39;781269,79;;-189047,37;592222,42;1000354,24;2233202,17; 2.882.209 ; 1.748.197 ; 6.863.609 ; 6.963.963 ; 2.121.623 ;191415,81; 2.313.039 ;;;0;2313038,76;4650924,1; 6.963.963 ;39,5%;17,0%;12,9%;8,5%; 4.650.924,1 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
